question_num,question,a,b,c,d,correct_answer
21,Nhà nước quân chủ là nhà nước…,Quyền lực nhà nước tối cao tập trung vào người đứng đầu nhà nước và được hình thành do bầu cử,"Quyền lực nhà nước tối cao thuộc về người đứng đầu nhà nước hay thuộc về một tập thể, và được hình thành do bầu cử",Quyền lực nhà nước tối cao tập trung toàn bộ hay một phần chủ yếu vào tay người đứng đầu nhà nước theo nguyên tắc thừa kế,Tất cả đều sai,c
22,Hình thức cấu trúc nhà nước đơn nhất có đặc điểm…,Một hệ thống pháp luật,Hai hệ thống cơ quan Nhà nước,Lãnh thổ có chủ quyền riêng,Hai hệ thống pháp luật,a
23,Khi nghiên cứu về tổ chức thị tộc thì khẳng định nào sau đây là đúng?,Thị tộc là nhà nước trong xã hội Cộng sản nguyên thủy,Trong thị tộc đã có sự phân công lao động chuyên môn hóa ngành nghề,Thị tộc là đơn vị kinh tế đầu tiên của xã hội cộng sản nguyên thủy,Tổ chức thị tộc gắn liền xã hội có giai cấp,c
24,Chọn phương án đúng nhất: Tính giai cấp của nhà nước thể hiện ở phương diện nào?,"kinh tế, chính trị, xã hội","kinh tế, chính trị, tư tưởng","kinh tế, văn hóa, xã hội.","kinh tế, chính trị, văn hóa",b
25,Chọn phương án đúng nhất: Pháp luật là…,"các quy tắc xử sự chung, do nhà nước ban hành hoặc thừa nhận","các hệ thống chuẩn mực, được quy định trong Hiến pháp, do Nhà nước thừa nhận","các quy tắc xử sự chung, do nhà nước thừa nhận trên những chuẩn mực của đời sống","các quy tắc xử sự chung của mọi người, do nhà nước ban hành, được áp dụng ở phạm vi nhất định",a
26,Theo quan điểm của chủ nghĩa Mác - Lênin về nhà nước thì…,Nhà nước là hiện tượng tự nhiên,Nhà nước là hiện tượng xã hội mang tính lịch sử,Nhà nước là hiện tượng xã hội tồn tại vĩnh viễn,"Nhà nước là hiện tượng xuất hiện và tồn tại cùng với sự xuất hiện, tồn tại của lịch sử xã hội loài người",b
27,"Hành vi vi phạm các quy tắc, quy chế được xác lập trong một tổ chức, cơ quan, đơn vị là…",vi phạm hành chính,vi phạm dân sự,vi phạm kỷ luật,vi phạm hình sự,c
28,Hình phạt trong pháp luật hình sự của các nước thể hiện “hậu quả pháp lý” nặng nề nhất mà chủ thể phải gánh chịu do hành vi vi phạm pháp luật gây ra thể hiện đặc trưng…,Tính xác định chặt chẽ về mặt hình thức,"Tính quyền lực, bắt buộc chung","Tính chủ quan, quy phạm phổ biến",Tính ý chí chủ quan,b
29,Chọn phương án đúng nhất: Bản chất của pháp luật Việt Nam thể hiện ở…,Tính giai cấp và tính xã hội,Tính giai cấp và tính chính trị,Tính xã hội và tính kinh tế,Tính kinh tế và tính xã hội,a
30,Pháp luật mang bản chất của xã hội vì…,pháp luật là cơ sở đảm bảo an toàn trật tự xã hội,pháp luật bắt nguồn từ thực tiễn đời sống xã hội,pháp luật góp phần hoàn chỉnh hệ thống xã hội,pháp luật đem đến một hệ thống chính trị hoàn chỉnh,b
31,"Khi giải thích về nguồn gốc nhà nước, xem nhà nước là hiện tượng siêu nhiên, vĩnh cửu, đó là quan điểm của…",Thuyết Thần học,Thuyết Gia trưởng,Thuyết Khế ước xã hội,Thuyết Bạo lực,a
32,Khi nghiên cứu về tổ chức thị tộc thì khẳng định nào sau đây là SAI?,Thị tộc là đơn vị kinh tế đầu tiên của xã hội cộng sản nguyên thủy,Trong thị tộc đã hình thành hội đồng thị tộc,Trong thị tộc đã hình thành các giai cấp khác nhau,Thị tộc tồn tại gắn liền với nền kinh tế tự nhiên,c
33,Chọn phương án đúng nhất: Những quy phạm xã hội tồn tại trong xã hội cộng sản nguyên thủy là?,"Đạo đức, tập quán, pháp luật","Tập quán, tín điều tôn giáo, luật pháp","Tín điều tôn giáo, tập quán pháp","Đạo đức, tập quán, tín điều tôn giáo",d
34,Hình thức chính thể nào sau đây không tồn tại chức danh Thủ tướng,Cộng hòa đại nghị,Quân chủ lập hiến,Cộng hòa Tổng thống,Cộng hòa lưỡng tính (hỗn hợp),c
35,Hình thức chính thể cộng hòa dân chủ nhân dân là hình thức chính thể của quốc gia nào sau đây?,Việt Nam,Pháp,Đức,Nhật,a
36,Chọn phương án đúng nhất: Nhà nước Việt Nam đại diện cho lợi ích của…,giai cấp công nhân và nhân dân lao động,giai cấp công dân,các tầng lớp bị áp bức,nhân dân lao động,a
37,"Con cái chửi, mắng cha, mẹ thì sẽ bị…",dư luận lên án,vi phạm pháp luật hành chính,vi phạm pháp luật dân sự,vi phạm pháp luật hình sự,a
38,Hình thức cấu trúc của Nhà nước Việt Nam là…,Từ đủ 15 tuổi,Từ đủ 18 tuổi,Từ đủ 21 tuổi,Từ đủ 25 tuổi,a
39,"Quy định pháp luật về bầu cử của Việt Nam, ngoài các điều kiện khác, muốn tham gia ứng cử phải…",Từ đủ 15 tuổi,Từ đủ 18 tuổi,Từ đủ 21 tuổi,Từ đủ 25 tuổi,c
40,Chọn phương án đúng nhất: Kiểu nhà nước nào sử dụng phương pháp thuyết phục là chủ yếu để cai trị và quản lý xã hội:,Nhà nước XHCN,Nhà nước tư sản,Nhà nước phong kiến,Nhà nước chủ nô,a
41,Văn bản nào sau đây có hiệu lực cao nhất trong hệ thống pháp luật của Việt Nam?,Pháp lệnh,Luật,Hiến pháp,Nghị quyết,c
42,Chức năng nào dưới đây KHÔNG phải là chức năng chính của Quốc hội?,Chức năng lập pháp,Chức năng giám sát tối cao,Chức năng quyết định các vấn đề quan trọng của đất nước,Chức năng công tố,d
43,"Ở Việt Nam, cơ quan thường trực của Quốc hội là:",Chính phủ,Uỷ ban thường vụ Quốc hội,Hội đồng nhân dân các cấp,Uỷ ban nhân dân các cấp,b
44,Nhận định nào SAI khi nói về vai trò của pháp luật?,"Pháp luật là cơ sở để thiết lập, củng cố và tăng cường quyền lực nhà nước","Pháp luật là phương tiện để nhà nước quản lí kinh tế, xã hội",Pháp luật tạo ra môi trường ổn định cho việc thiết lập mối quan hệ giữa các nước,Pháp luật là phương tiện để nhân dân bảo vệ quyền chính đáng của mình,c
45,Chọn phương án đúng nhất: Pháp luật là…,Hệ thống các văn bản và nghị định do các cấp ban hành và thực hiện,Những luật và điều luật cụ thể trong thực tế đời sống,Hệ thống các quy tắc xử sự chung do nhà nước ban hành và được bảo đảm thực hiện bằng quyền lực nhà nước,Hệ thống các quy tắc xử sự được hình thành theo điều kiện cụ thể của từng địa phương,c
46,"Trong Tuyên ngôn của Đảng Cộng sản, C.Mác và Ph.Ăngghen đã viết: “Pháp luật của các ông chỉ là ý chí của giai cấp các ông được đề lên thành luật, cái ý chí mà nội dung là dôon gc”á ctr ođniềgu c kâiuệ nn ósiin thrê hno mạtu vốậnt cchhỉấ at ic?ủ a giai cấp các ông quyết định”. Đại từ nhân xưng “các",Các nhà làm luật,"Quốc hội, nghị viện","Nhà nước, giai cấp thống trị",Chính phủ,c
47,Ưu thế vượt trội của pháp luật so với các quy phạm xã hội khác là?,Tính cưỡng chế,Tính rộng rãi,Tính xã hội,Tồn tại trong thời gian dài,a
48,"Cơ quan nào sau đây có thẩm quyền quyết định việc chia, tách đơn vị hành chính cấp tỉnh?",Quốc hội,Chính phủ,Chủ tịch nước,Bộ Chính trị,a
49,Pháp luật có đặc điểm là…,Bắt nguồn từ thực tiễn đời sống xã hội,Vì sự phát triển của xã hội,"Pháp luật có tính quy phạm phổ biến; mang tính quyền lực, bắt buộc chung; có tính xác định chặt chẽ về mặt hình thức",Mang bản chất giai cấp và bản chất xã hội,c
50,Bản chất xã hội của pháp luật thể hiện ở…,Pháp luật được ban hành vì sự phát triển của xã hội,"Pháp luật phản ánh những nhu cầu, lợi ích của các tầng lớp trong xã hội","Pháp luật bảo vệ quyền tự do, dân chủ rộng rãi cho nhân dân lao động","Pháp luật bắt nguồn từ xã hội, do các thành viên của xã hội thực hiện, vì sự phát triển của xã hội",d
51,Nội dung cơ bản của pháp luật bao gồm…,"Các chuẩn mực thuộc về đời sống tinh thần, tình cảm của con người",Quy định các hành vi không được làm,Quy định các bổn phận của công dân,"Các quy tắc xử sự (việc được làm, việc phải làm, việc không được làm)",d
52,Trong các quan điểm phi mácxít về nguồn gốc nhà nước thì quan điểm nào được coi là tiến bộ nhất?,Quan điểm của thuyết Thần học,Quan điểm của thuyết Gia trưởng,Quan điểm của thuyết Khế ước xã hội,Quan điểm của thuyết Bạo lực,c
53,"Điền từ vào chỗ trống: C.Mác và Ph.Ăngghen đã khái quát hóa quá trình tồn tại, phát triển, thay đổi của xã hội loài người trong thời đại nguyên thủy trải qua..... lần phân công lao động?",Hai,Ba,Bốn,Năm,b
54,"Ở Việt Nam, cơ quan nào sau đây có thẩm quyền quyết định đại xá?",Quốc hội,Chính phủ,Chủ tịch nước,Thủ tướng Chính phủ,a
55,"Pháp luật công khai quy định về chế độ bóc lột nô lệ, thể hiện sự bất bình đẳng giữa chủ nô và nô lệ, đây là đặc điểm của kiểu pháp luật nào?",Pháp luật xã hội chủ nghĩa,Pháp luật phong kiến,Pháp luật tư sản,Pháp luật chủ nô,d
56,"Nhà nước ban hành luật giao thông đường bộ và bắt buộc tất cả mọi người phải tuân theo, không được làm trái. Thể hiện đặc trưng…?","Tính quy phạm, phổ biến","Tính quy định, bắt buộc chung",Tính xác định chặt chẽ về mặt hình thức,Tính nhân dân,b
57,Pháp luật là công cụ bảo vệ lợi ích của….?,Tổ chức tôn giáo,Giai cấp thống trị,Nhà nước và xã hội,Nhân dân,b
58,Tính quy phạm phổ biến là đặc tính của:,Pháp luật,Đạo đức,Tôn giáo,Tổ chức xã hội,a
59,Hình thức pháp luật chủ yếu được áp dụng ở Việt Nam hiện nay là:,Văn bản quy phạm pháp luật,Tập quán pháp,Án lệ pháp,Tiền lệ pháp,a
60,Pháp luật phát sinh và tồn tại trong xã hội:,Có nhà nước,Không có giai cấp,Không có nhà nước,Nguyên thủy,a
61,Pháp luật có thể tác động vào kinh tế theo xu hướng:,Tác động tiêu cực,Tác động tích cực,Tích cực hoặc tiêu cực,Tất cả đều sai,c
62,"Pháp luật ghi nhận các quan hệ xã hội chủ yếu và xác định quyền, nghĩa vụ pháp lý của các chủ thể trong quan hệ đó, thể hiện?",Chức năng của pháp luật,Chức năng điều chỉnh các quan hệ xã hội của pháp luật,Chức năng giáo dục của pháp luật,Nhiệm vụ của pháp luật,b
63,"Đề cập đến quá trình phát triển, thay đổi của xã hội loài người, nhận định nào sau đây là SAI?",Lần phân công lao động thứ nhất: ngành chăn nuôi ra đời,Lần phân công lao động thứ hai: ngành tiểu thủ công nghiệp ra đời,Lần phân công lao động thứ ba: ngành thương nghiệp ra đời,Lần phân công lao động thứ tư: Nhà nước ra đời,d
64,"Pháp luật quy định đẳng cấp trong xã hội và đặc quyền, đặc lợi của địa chủ phong kiến. Đây là đặc trưng của kiểu pháp luật nào?",Pháp luật chủ nô,Pháp luật XHCN,Pháp luật tư sản,Pháp luật phong kiến,d
65,Nội dung nào sau đây phù hợp với tính quy phạm và phổ biến của pháp luật?,Phạm vi tác động của quy phạm xã hội rộng hơn so với pháp luật,Ai cũng cần phải thực hiện theo các tín điều tôn giáo được ban hành,Cơ quan có quyền ban hành pháp luật thì cũng có quyền không thực hiện pháp luật,"Phạm vi tác động của pháp luật rộng lớn cả về không gian, thời gian và đối tượng áp dụng",d
66,Ưu thế vượt trội của pháp luật so với các quy phạm xã hội khác là?,Tính cưỡng chế,Tính rộng rãi,Tính xã hội,Tồn tại trong thời gian dài,a
67,Chọn phương án đúng nhất: Hình thức nhà nước thừa nhận một số tập quán lưu truyền trong xã hội và quy định thành cách xử sự chung là hình thức pháp luật nào sau đây?,Tập quán pháp,Văn bản quy phạm pháp luật,Tiền lệ pháp,Tiền lệ pháp và tập quán pháp,a
68,"Điền vào chỗ trống, Hồ Chí Minh: “Pháp luật của ta là pháp luật thật sự dân chủ vì nó bảo vệ....... rộng rãi cho nhân dân lao động”.",Lợi ích chính đáng,Quyền và nghĩa vụ,"Quyền tự do, dân chủ",Quyền và nghĩa vụ cơ bản,c
69,Bản chất giai cấp của Pháp luật Việt Nam là…,Đảm bảo lợi ích của giai cấp công nhân và nhân dân lao động Việt Nam,"Đảm bảo lợi ích của giai cấp lãnh đạo, nhưng giai cấp công nhân và nông dân được tự do dân chủ",Pháp luật là điều kiện để nhà nước ràng buộc mọi công dân,Tất cả đều đúng,a
70,Quy phạm pháp luật là những quy tắc xử sự mang tính bắt buộc thể hiện ý chí của:,Nhà nước,Tổ chức xã hội,Tổ chức chính trị - xã hội,Tổ chức kinh tế,a
71,Nhận định nào sau đây là SAI?,"Tập quán pháp là hình thức Nhà nước thừa nhận một số tập quán lưu truyền trong xã hội và quy định thành cách xử sự chung, được Nhà nước bảo đảm thực hiện",Hình thức tập quán pháp được sử dụng nhiều trong Nhà nước xã hội chủ nghĩa,Văn bản quy phạm pháp luật là hình thức pháp luật tiến bộ nhất,Hình thức tiền lệ pháp còn gọi là án lệ pháp,b
72,"Trong các hành vi sau đây, hành vi nào phải chịu trách nhiệm về mặt hình sự?","Vượt đèn đỏ, gây tai nạn chết người",Đi ngược chiều,Tụ tập và gây gối trật tự công cộng,Cắt trộm cáp điện,a
73,Nghị định là văn bản quy phạm pháp luật do cơ quan Nhà nước có thẩm quyền ban hành là:,Chính phủ,Uỷ ban thường vụ quốc hội,Thủ tướng chính phủ,Chủ tịch nước,a
74,"Bộ phận nào của quy phạm pháp luật nêu lên cách thức xử sự cho chủ thể được làm, không được làm, phải làm:",Giả định,Quy định,Chế tài,Tất cả đều sai,b
75,Trong các nghĩa vụ sau đây nghĩa vụ nào KHÔNG phải là nghĩa vụ pháp lý?,Đoàn viên thanh niên phải chấp hành điều lệ của Đoàn,Người kinh doanh phải thực hiện nghĩa vụ nộp thuế,Thanh niên đủ 18 tuổi phải thực hiện nghĩa vụ quân sự,Con cái có nghĩa vụ phụng dưỡng cha mẹ già,a
76,"Hình thức pháp luật này ngày càng được sử dụng rộng rãi ở các quốc gia vì nó khắc phục được những hạn chế của các hình thức pháp luật khác và có tính rõ ràng, cụ thể, được ban hành theo trình tự, thủ tục nhất định, đó là?",Tiền lệ pháp,Tập quán pháp,Văn bản luật,Văn bản quy phạm pháp luật,d
77,Anh A lái xe máy và lưu thông đúng luật. Chị B đi xe đạp không quan sát và bất ngờ băng ngang qua đường làm anh A bị thương (giám định là 10%). Theo bạn trường hợp này xử phạt như thế nào?,Cảnh cáo và buộc chị B phải bồi thường thiệt hại cho gia đình anh A,Cảnh cáo phạt tiền chị B,Không xử lý chị B vì chị B là người đi xe đạp,Phạt tù chị B,a
78,Chọn phương án đúng nhất: Một trong những đặc điểm để phân biệt pháp luật với quy phạm đạo đức là:,"Pháp luật có tính quyền lực, bắt buộc chung",Pháp luật có tính quyền lực,Pháp luật có tính bắt buộc chung,Pháp luật có tính quy phạm,a
79,Pháp luật là phương tiện để công dân:,"Sống tự do, dân chủ","Thực hiện và bảo vệ quyền, lợi ích hợp pháp của mình",Quyền con người được tôn trọng và bảo vệ,Công dân phát triển toàn diện,b
80,Quản lí bằng pháp luật là phương pháp quản lí…,hữu hiệu và phức tạp nhất.,dân chủ và hiệu quả nhất,hiệu quả và khó khăn nhất,dân chủ và cứng rắn nhất,b
81,Bộ phận đảm bảo cho quy phạm pháp luật được thực hiện nghiêm chỉnh là…?,Quy định,Giả định,Chế tài,Quy cách,c
82,Thời điểm năng lực pháp lụât và năng lực hành vi của pháp nhân được nhà nước công nhận là:,Cùng một thời điểm,Năng lực pháp luật được công nhận trước năng lực hành vi,Năng lực hành vi được công nhận trước năng lực pháp luật,Tất cả đều đúng,a
83,Nội dung của quan hệ pháp luật là:,Quyền và nghĩa vụ của các chủ thể trong quan hệ pháp luật,Những giá trị mà các chủ thể quan hệ pháp luật muốn đạt được,Là các bên tham gia vào quan hệ pháp luật,Là đối tượng mà các chủ thể quan tâm khi tham gia vào quan hệ pháp luật,a
84,Khi nào pháp nhân có năng lực chủ thể:,Khi nhà nước cho phép hoặc công nhận sự thành lập của pháp nhân,Khi tổ chức có đủ số thành viên,Khi các thành viên thỏa thuận thành lập pháp nhân,Khi một tổ chức có đủ vốn,a
85,"Khả năng của chủ thể bằng chính hành vi của mình thực hiện được các quyền và nghĩa vụ mà pháp luật quy định, đó là:",Năng lực pháp luật,Năng lực hành vi,Năng lực chủ thể,Tất cả đều đúng,b
86,Điền từ vào chỗ trống: Pháp luật là hệ thống các quy tắc xử sự chung do ……… ban hành và đảm bảo thực hiện bằng quyền lực nhà nước.,Đảng,Chính phủ,Tổ chức xã hội,Nhà nước,d
87,"Các quy tắc xử sự (việc được làm, việc phải làm, việc không được làm) thể hiện vấn đề nào của pháp luật?",Phương thức tác động,Nội dung,Nguồn gốc,Hình thức thể hiện,a
88,Chọn phương án đúng nhất: Nhà nước Việt Nam điều hành đất nước bằng…,"Văn hoá, giáo dục, chính trị",Kế hoạch phát triển kinh tế,Quân đội và chính quyền,Hiến pháp và pháp luật,d
89,Tiêu chuẩn xác định một hệ thống pháp luật hoàn thiện là?,"Tính toàn diện, tính đồng bộ",Tính phù hợp,Trình độ kỹ thuật pháp lý cao,Tất cả đều đúng,d
90,Chọn phương án đúng nhất: Năng lực hành vi của cá nhân chỉ xuất hiện khi?,"Cá nhân đủ 18 tuổi, không mắc bệnh tâm thần","Cá nhân đủ 16 tuổi, có trí óc bình thường",Cá nhân đã đến độ tuổi nhất định và có những điều kiện nhất định,Được nhà nước quy định,c
91,Một tổ chức có tư cách pháp nhân khi có điều kiện?,"Được thành lập hợp pháp, có cơ cấu tổ chức chặt chẽ","Có tài sản độc lập với cá nhân, tổ chức khác",Nhân danh mình tham gia các quan hệ pháp luật một cách độc lập,Tất cả đều đúng,d
92,Các quy phạm pháp luật bắt nguồn từ đâu?,Từ tư duy trừu tượng của con người,Từ quyền lực của giai cấp thống trị,"Từ thực tiễn đời sống xã hội, do thực tiễn cuộc sống đòi hỏi",Từ ý thức của các cá nhân trong xã hội,c
93,"“Pháp luật là của ai, do ai và vì ai?” Đề cập đến vấn đề nào của pháp luật?",Nội dung của pháp luật.,Hình thức thể hiện của pháp luật,Khái niệm cơ bản của pháp luật.,Bản chất của pháp luật,d
94,Cá nhân có năng lực hành vi đầy đủ khi:,Từ đủ 15 tuổi trở lên,Từ đủ 21 tuổi trở lên,Từ đủ 18 tuổi trở lên,Từ đủ 6 tuổi trở lên,c
95,Quan hệ xã hội nào sau đây không phải là quan hệ pháp luật?,Quan hệ vợ – chồng,Quan hệ mua – bán,Quan hệ cha mẹ – con,Quan hệ tình yêu nam – nữ,d
96,Tổ chức được thành lập hợp pháp được gọi là:,Pháp nhân,Thể nhân,Cá nhân,Tất cả đều sai,a
97,Kết hôn là:,Hành vi pháp lý,Sự biến pháp lý,Sự kiện thông thường,Năng lực hành vi,a
98,Chủ thể thực hiện vi phạm hình sự có thể là…,Cá nhân có năng lực trách nhiệm hình sự,Tổ chức là pháp nhân,Tổ chức không là pháp nhân,Người tâm thần,a
99,"Điền từ vào chỗ trống: “Pháp luật là hệ thống quy tắc xử sự mang tính ............., do............ ban hành và bảo đảm thực hiện, thể hiện ................. của giai cấp thống trị và phụ thuộc vào các điều kiện ..............., là nhân tố điều chỉnh các quan hệ xã hội”.",Bắt buộc – quốc hội – ý chí – chính trị,Bắt buộc chung – nhà nước – lý tưởng – chính trị,Bắt buộc – quốc hội – lý tưởng – kinh tế xã hội,Bắt buộc chung – nhà nước – ý chí – kinh tế xã hội,d
100,Chọn phương án đúng nhất: Nói đến vai trò của pháp luật đối với sự phát triển bền vững của đất nước là nói đến sự tác động của pháp luật đối với…,Các lĩnh vực của đời sống xã hội,Lĩnh vực bảo vệ môi trường,Việc xây dựng và bảo vệ đất nước,Phát triển kinh tế đất nước,a
101,"Hành vi tổ chức đánh bạc của công chức, viên chức nhà nước bị công an bắt quả tang được xác định là hành vi:",Vi phạm hình sự,Vi phạm công vụ,Vi phạm kỷ luật,Vi phạm dân sự,a
102,Xác định phương án SAI: Khi phát sinh tranh chấp về quyền và nghĩa vụ giữa các chủ thể thì…,Các chủ thể không có quyền tự giải quyết tranh chấp,Các chủ thể có thể nhờ người hòa giải,Các chủ thể có thể thỏa thuận với nhau về cách giải quyết tranh chấp,Các chủ thể có quyền yêu cầu nhà nước giải quyết,a
103,Lịch sử xã hội loài người đã và đang trải qua mấy kiểu pháp luật?,2 kiểu pháp luật,4 kiểu pháp luật,5 kiểu pháp luật,6 kiểu pháp luật,b
104,"Ông B tổ chức buôn ma túy, hỏi ông B phải chịu trách nhiệm pháp lý nào?",Trách nhiệm hành chính,Trách nhiệm hình sự,Trách nhiệm dân sự,Trách nhiệm kỷ luật,b
105,Chế tài nào sau đây chỉ do Tòa án áp dụng:,Chế tài hành chính,Chế tài hình sự,Chế tài kỷ luật,Chế tài công vụ,b
106,Bồi thường thiệt hại là chế tài:,Dân sự,Hình sự,Hành chính,Kỷ luật,a
107,Điền vào chỗ trống: Chủ thể vi phạm pháp luật là cá nhân hoặc tổ chức có ...... đã thực hiện hành vi vi phạm pháp luật?,Khả năng,Năng lực hành vi,Năng lực trách nhiệm pháp lý,Năng lực pháp luật,d
108,"Trường hợp nào sau đây thì mới được bắt, giam, giữ người",Bắt người khi đang bị tình nghi có hành vi vi phạm pháp luật,Bắt người phạm tội quả tang hoặc đang bị truy nã,"Bắt, giam, giữ người khi người này đang nghiện ma tuý",Bắt giam người khi người này có người thân phạm pháp luật,b
109,"Ở Việt Nam, cứ đến ngày Quốc khánh (2/9) người nào cải tạo tốt, biết hối cải thì được Chủ tịch nước ân xá cho ra tù trước thời hạn. Thể hiện bản chất nào của pháp luật?",Bản chất giai cấp,Bản chất xã hội,Bản chất nhân đạo sâu sắc pháp luật xã hội chủ nghĩa,Bản chất nhân dân,c
110,Chọn phương án đúng nhất: Phương thức tác động của nhà nước lên quan hệ pháp luật là…,"giáo dục, thuyết phục và cưỡng chế","giáo dục, cưỡng chế",Cưỡng chế,giáo dục,a
111,Lệnh là văn bản quy phạm pháp luật do cơ quan nào sau đây ban hành?,Thủ tướng Chính phủ,Chủ tịch Quốc hội,Tổng Bí thư,Chủ tịch nước,d
112,Khẳng định nào SAI khi nghiên cứu về mặt chủ quan của vi phạm pháp luật?,Động cơ là cái thúc đẩy chủ thể thực hiện hành vi vi phạm pháp luật,Lỗi là một trong những căn cứ để xác định mức độ trách nhiệm pháp lý đối với chủ thể vi phạm pháp luật,Lỗi là thái độ tâm lý của chủ thể đối với hành vi trái pháp luật mà mình đã thực hiện và hậu quả do hành vi gây ra,Chỉ khi nào hành vi trái pháp luật được chủ thể thực hiện một cách cố ý thì mới có thể là hành vi vi phạm pháp luật,d
113,"Những biểu hiện, diễn biến tâm lý bên trong của chủ thể vi phạm pháp luật gọi là?",Mặt chủ quan của vi phạm pháp luật,"Nhận thức, thái độ của chủ thể",Chủ thể vi phạm pháp luật,Tất cả đều đúng,a
